,constellation,signal_path,satellite_coverage_area_km,path_loss,losses,antenna_gain,eirp_dB,noise,received_power_dB,cnr,spectral_efficiency,channel_capacity,agg_capacity,capacity_per_single_satellite,capacity_per_area_mbps/sqkm,total_cost_ownership,cost_per_capacity,aluminium_oxide_emissions_t,sulphur_oxide_emissions_t,carbon_oxide_emissions_t,cfc_gases_emissions_t,particulate_matter_emissions_t,photochemical_oxidation_emissions_t,total_emissions_t
10,OneWeb,1262.8842188901046,708333.3333333334,177.0839460959897,10.722842434915078,42.21914013279181,72.21914013279181,-89.99782907027767,-82.64376837842066,7.354060691857015,2.10485,526.2125,8419.4,8419.4,0.011886211764705881,1540387981.422525,131729024.23263153,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
11,Kuiper,634.5851442938009,157601.97775030902,173.45926334721838,18.639925813181463,41.18052605551732,71.18052605551732,-89.99782907027767,-84.98772958979242,5.010099480485252,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1186179563.4116466,582572157.908138,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
12,Starlink,574.2602096739015,115254.2372881356,170.2388498735766,11.014287275687217,39.56859866044502,69.56859866044502,-89.99782907027767,-71.21795549746957,18.7798735728081,5.417338,2708.669,43338.704,43338.704,0.37602699058823524,965996685.2253231,98630898.88710228,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
13,OneWeb,1265.2950481905739,708333.3333333334,177.10051153788322,16.950966228269596,36.51790118926979,66.51790118926979,-89.99782907027767,-94.8873480704679,-4.889519000190219,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1557280379.7681613,170172775.89711884,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
14,Kuiper,635.1414536559238,157601.97775030902,173.4668745008346,18.251494631728075,40.35787356800219,70.35787356800219,-89.99782907027767,-90.68168440337278,-0.68385533309511,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1240195225.9420235,609101042.7851058,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
15,Starlink,575.9569614399051,115254.2372881356,170.26447600695622,11.3093707982554,37.36579503733501,67.365795037335,-89.99782907027767,-77.20628883465261,12.791540235625064,3.510192,1755.096,28081.536,28081.536,0.24364862117647057,1067618121.1159012,168231901.05903974,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
16,OneWeb,1266.3120503289788,708333.3333333334,177.10749016334185,18.048145361975028,40.272340266603194,70.2723402666032,-89.99782907027767,-100.05150035552495,-10.053671285247276,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1472462493.4787304,160904248.95545954,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
17,Kuiper,635.3730431011501,157601.97775030902,173.47004102961964,16.224764523706693,37.616352956644405,67.6163529566444,-89.99782907027767,-102.7784883176147,-12.780659247337027,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1324609314.038474,650559603.5098877,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
18,Starlink,571.4525861199089,115254.2372881356,170.19627941919964,8.970821358426498,37.54111760041713,67.54111760041712,-89.99782907027767,-78.058689996142,11.939139074135682,2.856231,1428.1155,22849.848,22849.848,0.19825603411764706,1023720319.556174,198249126.82290357,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
19,OneWeb,1269.5445455176025,708333.3333333334,177.12963424824056,17.57915605162488,38.47455406185996,68.47455406185996,-89.99782907027767,-97.51455762039117,-7.516728550113498,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1499338426.3115232,163841133.12506667,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
20,Kuiper,636.3005197241042,157601.97775030902,173.4827108864966,19.721453769237726,43.18892869888886,73.18892869888886,-89.99782907027767,-84.79418724665246,5.203641823625219,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1066763393.5676106,523922912.969982,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
21,Starlink,567.908291966207,115254.2372881356,170.14223956625406,14.58239820724107,36.918778814873704,66.9187788148737,-89.99782907027767,-85.23041242296999,4.767416647307684,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1130546693.1144497,379631777.3672772,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
22,OneWeb,1259.8794700816363,708333.3333333334,177.0632553518994,16.30603581520308,39.30800982127094,69.30800982127094,-89.99782907027767,-100.76265422443069,-10.764825154153016,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1539751781.4642303,168257327.4847979,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
23,Kuiper,637.2443527383793,157601.97775030902,173.4955852359982,11.777928511293553,36.93079024845672,66.93079024845672,-89.99782907027767,-87.18288070954902,2.81494836072865,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1116317862.8832138,548260757.7733029,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
24,Starlink,566.03639266667,115254.2372881356,170.11356246109273,4.7889495402632,36.689455167819524,66.68945516781952,-89.99782907027767,-85.18122183339635,4.816607236881325,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1132421595.056869,380261359.8171884,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
25,OneWeb,1270.0541073540298,708333.3333333334,177.1331198365209,11.93867828017503,40.801178863045095,70.8011788630451,-89.99782907027767,-91.31248190230505,-1.3146528320273774,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1518291105.4211376,165912198.84750938,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
26,Kuiper,646.1670148036206,157601.97775030902,173.61636101939033,19.796938879597192,41.93447277979494,71.93447277979493,-89.99782907027767,-89.69834365431666,0.29948541596101563,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1143624864.9991744,561672132.9473468,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
27,Starlink,559.5471534599639,115254.2372881356,170.01340918451183,6.371547833132308,36.24747100580548,66.24747100580548,-89.99782907027767,-70.29253079285954,19.705298277418137,5.768987,2884.4935,46151.896,46151.896,0.4004355682352941,1084482578.0664344,103979160.63825355,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
28,OneWeb,1262.4611845200732,708333.3333333334,177.08103605446587,13.6333537001947,26.85808268851456,56.85808268851456,-89.99782907027767,-104.50411928428205,-14.50629021400438,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1569615355.396731,171520687.98193526,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
29,Kuiper,630.1060398263679,157601.97775030902,173.3977381777932,19.762662836426184,42.089744201900565,72.08974420190057,-89.99782907027767,-99.17331512575504,-9.175486055477364,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1240815662.2370722,609405759.6445091,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
30,Starlink,569.9748255539303,115254.2372881356,170.1737888565957,10.324547949018847,32.10496747449832,62.10496747449832,-89.99782907027767,-91.59268759162516,-1.59485852134749,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,918341317.3650372,308374301.26895475,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
31,OneWeb,1272.8053936556428,708333.3333333334,177.1519155101797,16.37433161540836,40.67824868557213,70.67824868557213,-89.99782907027767,-88.97426985490094,1.0235592153767357,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1536619295.4770942,167915023.14267993,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
32,Kuiper,631.9936988868999,157601.97775030902,173.42372029308854,14.387305825481755,43.5971637398914,73.5971637398914,-89.99782907027767,-88.26160476334942,1.73622430692825,1.647211,411.80275,6588.844,6588.844,0.04180686114509804,1273892152.6400476,625650722.0300243,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
33,Starlink,575.0304090059071,115254.2372881356,170.25049160675417,10.139192201843995,35.99892713986407,65.99892713986407,-89.99782907027767,-86.56145391530492,3.436375154972751,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,1080662768.6748211,362881011.5542335,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
34,OneWeb,1270.5921736242228,708333.3333333334,177.1367988881367,14.463143081219918,36.94555599612561,66.94555599612562,-89.99782907027767,-98.6365691076443,-8.638740037366631,1.647211,411.80275,6588.844,6588.844,0.009301897411764706,1501684874.8635104,164097542.74068826,0.00736,0.005152,1.85472,0.10304,0.0089792,0.134222848,2.113474048
35,Kuiper,634.9596581166278,157601.97775030902,173.46438799641817,16.683820596838007,35.92334582703365,65.92334582703364,-89.99782907027767,-83.74122870879226,6.256600361485411,1.972253,493.06325,7889.012,7889.012,0.05005655457254902,1141451389.2095397,468212837.73963964,158.41,65.17643,54.36,86.7286,158.980878,6.313124,529.969032
36,Starlink,569.4269423259454,115254.2372881356,170.16543560699992,13.62244355441039,38.34456573699961,68.34456573699961,-89.99782907027767,-87.37252836316979,2.6253007071078827,1.647211,823.6055,13177.688,13177.688,0.11433582235294117,927872263.8477793,311574744.1832303,24.4185,0.34185899999999997,171.90624,6.83718,24.5259414,12.246756816000003,240.276477216
