,constellation,losses,path_loss,antenna_gain,earth_atmospheric_losses,distance,satellite_coverage_area_km,eirp,noise,received_power,cnr,spectral_efficiency,channel_capacity,aggregate_capacity,sat_capacity
10,OneWeb,10.781460741381586,177.2008151066483,39.31680962202773,10.251460741381587,1271.645915077516,708333.3333333334,69.31680962202773,-89.99782907027767,-82.08465042451076,7.913178645766919,2.370043,592.51075,9480.172,9480.172
11,Kuiper,12.252866624165412,173.58495863420126,43.36566736350578,11.722866624165412,641.4451277013894,157407.40740740742,73.36566736350578,-89.99782907027767,-68.51831810140312,21.47951096887455,5.768987,1442.24675,23075.948,23075.948
12,Starlink,7.908791930705795,170.28912892904242,38.78772056612322,7.378791930705795,572.5361290325869,101190.47619047618,68.78772056612323,-89.99782907027767,-68.78625826089588,21.211570809381797,5.768987,2884.4935,46151.896,46151.896
13,OneWeb,9.748768163096672,177.12149477888158,37.22547285404031,9.218768163096673,1271.645915077516,708333.3333333334,67.2254728540403,-89.99782907027767,-83.14162084565213,6.856208224625547,2.10485,526.2125,8419.4,8419.4
14,Kuiper,7.19146508764117,173.58658726460925,40.83587058561318,6.66146508764117,641.4451277013894,157407.40740740742,70.83587058561318,-89.99782907027767,-62.82377757009379,27.174051500183886,5.768987,1442.24675,23075.948,23075.948
15,Starlink,10.886928054564637,170.22326036037697,37.69942055646802,10.356928054564637,572.5361290325869,101190.47619047618,67.69942055646803,-89.99782907027767,-75.64146706440818,14.3563620058695,3.841226,1920.613,30729.808,30729.807999999997
16,OneWeb,14.979703696615877,177.13986681952525,35.26612076668637,14.449703696615877,1271.645915077516,708333.3333333334,65.26612076668637,-89.99782907027767,-98.4388583249764,-8.44102925469872,1.647211,411.80275,6588.844,6588.844
17,Kuiper,13.611556304028928,173.55454647620968,42.22558678427888,13.081556304028929,641.4451277013894,157407.40740740742,72.22558678427887,-89.99782907027767,-72.748930235655,17.24889883462268,4.735354,1183.8385,18941.416,18941.416
18,Starlink,11.82987794660201,170.25794872178489,35.21090511340355,11.299877946602011,572.5361290325869,101190.47619047618,65.21090511340356,-89.99782907027767,-75.92421145076327,14.073617619514408,3.841226,1920.613,30729.808,30729.807999999997
19,OneWeb,14.1015015705803,177.08209713581914,37.58438707421978,13.5715015705803,1271.645915077516,708333.3333333334,67.58438707421978,-89.99782907027767,-93.15063287249828,-3.1528038022206033,1.647211,411.80275,6588.844,6588.844
20,Kuiper,13.58062595707853,173.6102884834179,43.43373494888628,13.05062595707853,641.4451277013894,157407.40740740742,73.43373494888628,-89.99782907027767,-81.55840591670773,8.439423153569948,2.524739,631.18475,10098.956,10098.956
21,Starlink,12.587760143284578,170.25157552414942,37.435844034020725,12.057760143284579,572.5361290325869,101190.47619047618,67.43584403402073,-89.99782907027767,-76.93391053378215,13.063918536495521,3.620536,1810.268,28964.288,28964.288
22,OneWeb,19.26724153391756,177.1172954689622,37.3159160707735,18.737241533917558,1271.645915077516,708333.3333333334,67.3159160707735,-89.99782907027767,-85.159246867986,4.838582202291676,1.647211,411.80275,6588.844,6588.844
23,Kuiper,12.042252768754587,173.5338568901795,44.05191010337252,11.512252768754587,641.4451277013894,157407.40740740742,74.05191010337252,-89.99782907027767,-77.32583954570654,12.671989524571131,3.510192,877.548,14040.768,14040.768
24,Starlink,14.429025830144651,170.25958422242405,38.86340198904737,13.899025830144652,572.5361290325869,101190.47619047618,68.86340198904736,-89.99782907027767,-76.120332824068,13.877496246209674,3.620536,1810.268,28964.288,28964.288
25,OneWeb,8.503953043824046,177.08426338716566,39.1441818424615,7.9739530438240465,1271.645915077516,708333.3333333334,69.1441818424615,-89.99782907027767,-84.22520477495416,5.77262429532351,1.647211,411.80275,6588.844,6588.844
26,Kuiper,9.490981803856107,173.69466127618983,42.18913135052528,8.960981803856107,641.4451277013894,157407.40740740742,72.18913135052529,-89.99782907027767,-64.84146963358513,25.15635943669254,5.768987,1442.24675,23075.948,23075.948
27,Starlink,9.036861741714684,170.1239741252462,38.327039802478104,8.506861741714685,572.5361290325869,101190.47619047618,68.32703980247811,-89.99782907027767,-74.99849710734534,14.999331962932331,4.206428,2103.214,33651.424,33651.424
28,OneWeb,15.330801382141095,177.15169284357063,38.58533705183725,14.800801382141096,1271.645915077516,708333.3333333334,68.58533705183726,-89.99782907027767,-90.07153142074436,-0.07370235046668938,1.647211,411.80275,6588.844,6588.844
29,Kuiper,14.3196497050538,173.51406693423488,41.88680680879328,13.789649705053801,641.4451277013894,157407.40740740742,71.88680680879328,-89.99782907027767,-71.81280255733839,18.185026512939288,4.936639,1234.15975,19746.556,19746.556
30,Starlink,11.377200251131331,170.2453379986262,34.968165147141235,10.847200251131332,572.5361290325869,101190.47619047618,64.96816514714124,-89.99782907027767,-83.27551058787235,6.722318482405328,1.972253,986.1265,15778.024,15778.024
31,OneWeb,13.703019496085334,177.09218001617307,38.623351575702564,13.173019496085335,1271.645915077516,708333.3333333334,68.62335157570257,-89.99782907027767,-78.02373939124824,11.974089679029433,2.856231,714.05775,11424.924,11424.924
32,Kuiper,11.673454874916446,173.57909196693907,43.59448488434054,11.143454874916447,641.4451277013894,157407.40740740742,73.59448488434055,-89.99782907027767,-61.85054754643285,28.147281523844825,5.768987,1442.24675,23075.948,23075.948
33,Starlink,8.542462484739376,170.35273799404837,35.90112903686076,8.012462484739377,572.5361290325869,101190.47619047618,65.90112903686077,-89.99782907027767,-71.52273994114493,18.47508912913274,4.936639,2468.3195,39493.112,39493.112
34,OneWeb,11.971783978914521,177.1782201798813,37.71923974642105,11.441783978914522,1271.645915077516,708333.3333333334,67.71923974642105,-89.99782907027767,-82.47400753869401,7.523821531583664,2.193247,548.31175,8772.988,8772.988
35,Kuiper,12.813715222662974,173.6378565914615,41.76185080957133,12.283715222662975,641.4451277013894,157407.40740740742,71.76185080957133,-89.99782907027767,-77.71134642940642,12.286482640871256,3.510192,877.548,14040.768,14040.768
36,Starlink,12.281063681873196,170.26870983785784,39.13317475471132,11.751063681873196,572.5361290325869,101190.47619047618,69.13317475471132,-89.99782907027767,-69.75192378921618,20.245905281061496,5.768987,2884.4935,46151.896,46151.896
37,OneWeb,12.831319801402202,177.19077800059193,39.507916376142816,12.301319801402203,1271.645915077516,708333.3333333334,69.50791637614282,-89.99782907027767,-89.92503011496763,0.07279895531004854,1.647211,411.80275,6588.844,6588.844
38,Kuiper,20.01473120482003,173.55783952757005,43.74050288594886,19.48473120482003,641.4451277013894,157407.40740740742,73.74050288594886,-89.99782907027767,-78.33239132935,11.665437740927672,2.856231,714.05775,11424.924,11424.924
39,Starlink,16.75436856944463,170.22419412077016,36.46016486230594,16.22436856944463,572.5361290325869,101190.47619047618,66.46016486230593,-89.99782907027767,-76.72597477979875,13.271854290478927,3.620536,1810.268,28964.288,28964.288
40,OneWeb,6.306977618617996,177.15527520130905,40.85489799014404,5.7769776186179955,1271.645915077516,708333.3333333334,70.85489799014404,-89.99782907027767,-75.92081214241838,14.07701692785929,3.841226,960.3065,15364.904,15364.903999999999
41,Kuiper,8.0513274028318,173.51786482767727,43.04467102180739,7.5213274028318,641.4451277013894,157407.40740740742,73.04467102180739,-89.99782907027767,-77.9582625363184,12.039566533959274,3.291954,822.9885,13167.816,13167.816
42,Starlink,10.825117247924931,170.18761453508307,36.96739271927436,10.295117247924932,572.5361290325869,101190.47619047618,66.96739271927436,-89.99782907027767,-66.99148608721282,23.006342983064854,5.768987,2884.4935,46151.896,46151.896
43,OneWeb,10.456333743048452,177.14613059109286,36.650473435316925,9.926333743048453,1271.645915077516,708333.3333333334,66.65047343531693,-89.99782907027767,-77.48609862399948,12.511730446278193,3.510192,877.548,14040.768,14040.768
